Carrera,Carrito,Equipo,Fecha_y_ hora_Prestamo,Fecha_y_ hora_Devolucion,Institucion,Modulo,Tipo_Dispositivo
SOCIOLOGIA,C06,E11,10/16/24 12:11,10/16/24 14:41,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
ARQUITECTURA,C04,L16,10/16/24 12:10,10/16/24 14:40,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
COMUNICACION,C08,E01,10/16/24 12:10,10/16/24 14:40,F.E.S. ACATLAN,Módulo 3 CEDETEC,Chromebook
INGENIERIA CIVIL,C01,T13,10/16/24 12:08,10/16/24 14:38,F.E.S. ACATLAN,Módulo 3 CEDETEC,iPad
MATEMATICAS APLICADAS Y COMPUTACION,C01,L06,10/16/24 12:06,10/16/24 14:36,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
INGENIERIA CIVIL,C01,T12,10/16/24 12:06,10/16/24 14:36,F.E.S. ACATLAN,Módulo 3 CEDETEC,iPad
ARQUITECTURA,C04,L15,10/16/24 12:09,10/16/24 14:39,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
PEDAGOGIA,C06,E09,10/16/24 12:05,10/16/24 14:35,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
INGENIERIA CIVIL,C04,L14,10/16/24 12:04,10/16/24 14:34,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
INGENIERIA CIVIL,C01,T11,10/16/24 12:04,10/16/24 14:34,F.E.S. ACATLAN,Módulo 3 CEDETEC,iPad
INGENIERIA CIVIL,C01,T10,10/16/24 12:04,10/16/24 14:34,F.E.S. ACATLAN,Módulo 3 CEDETEC,iPad
INGENIERIA CIVIL,C01,T09,10/16/24 12:03,10/16/24 14:33,F.E.S. ACATLAN,Módulo 3 CEDETEC,iPad
MATEMATICAS APLICADAS Y COMPUTACION,C01,L05,10/16/24 12:02,10/16/24 14:32,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
INGENIERIA CIVIL,C01,T08,10/16/24 12:00,10/16/24 14:30,F.E.S. ACATLAN,Módulo 3 CEDETEC,iPad
PEDAGOGIA,C02,C04,10/16/24 12:00,10/16/24 14:30,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
DISEÃ‘O GRAFICO,C04,L13,10/16/24 11:57,10/16/24 14:27,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
DERECHO,C02,T03,10/16/24 11:57,10/16/24 14:27,F.E.S. ACATLAN,Módulo 2 A-11,iPad
INGENIERIA CIVIL,C01,T07,10/16/24 11:55,10/16/24 14:25,F.E.S. ACATLAN,Módulo 3 CEDETEC,iPad
ARQUITECTURA,C04,L11,10/16/24 11:54,10/16/24 14:24,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
ACTUARIA,C02,C03,10/16/24 11:53,10/16/24 14:23,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
INGENIERIA CIVIL,C01,T06,10/16/24 11:52,10/16/24 14:22,F.E.S. ACATLAN,Módulo 3 CEDETEC,iPad
INGENIERIA CIVIL,C01,T05,10/16/24 11:52,10/16/24 14:22,F.E.S. ACATLAN,Módulo 3 CEDETEC,iPad
INGENIERIA CIVIL,C04,L10,10/16/24 11:52,10/16/24 14:22,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
DISEÃ‘O GRAFICO,C04,L09,10/16/24 11:52,10/16/24 14:22,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
INGENIERIA CIVIL,C01,T04,10/16/24 11:52,10/16/24 14:22,F.E.S. ACATLAN,Módulo 3 CEDETEC,iPad
INGENIERIA CIVIL,C01,T03,10/16/24 11:50,10/16/24 14:20,F.E.S. ACATLAN,Módulo 3 CEDETEC,iPad
